Timestamp	My main tasks are related to communication.	Gender	Age	My professional role	I have prior experience using AI-driven software.	I have prior experience using generative AI (such as ChatGPT).	I can imagine using generative AI in my professional role.	I regularly use generative AI in my professional role.	Using generative AI tools feels easy and requires no extra effort.	With the help of generative AI, I can perform my tasks more time-efficiently.	Generative AI tools are more accurate with fewer human errors.	Generative AI understands and performs tasks with higher quality than humans.	Generative AI delivers credible information.	Generative AI tools are sufficiently developed to distinguish between safe and unsafe sources.	Software based on generative AI is more creative than humans.	It takes me too long to learn how to interact with generative AI tools.	Using generative AI tools is too time-consuming.	Working with generative AI tools is difficult.	It is desirable at my workplace to be interested in new technology.	It is desirable at my workplace to be competent in new technology.	Technically knowledgeable employees tend to have more influence at my workplace.	I have gained more interest in technological tools as my colleagues are interested in them.	My workplace expects me to adapt to new technology.	I appreciate that generative AI tools, such as ChatGPT, have a human-like character.	I believe that generative AI tools, such as ChatGPT, understand my needs and what I am asking for.	I believe that generative AI has the same analytical ability as humans.	I believe that generative AI has its own free will.	I believe that generative AI tools can perceive my emotions and communicate in an understanding manner.	My workplace encourages me to use new technology.	My employer provides support and makes it easier for me to learn new technology.	With the support that my employer provides, I feel secure in using generative AI.	I feel that I can control and decide how I want to use generative AI in my work.	I understand why I need to learn new technology in my professional role.	I believe it is positive if my workload is reduced with the help of generative AI.	I feel threatened by generative AI in my professional role.	I find it fun to learn more about new technology.	I am curious to learn more about generative AI.	I feel secure that information I share with generative AI tools is not disclosed to unauthorized persons or organizations.	I believe that generative AI tools can be used to manipulate and harm information that I share with the tool, without my knowledge.	I believe that generative AI tools are sufficiently secure when it comes to protecting users' identity on the internet.	ag_lt31	ag_lt41
2023-04-19 20.26.00	Nej	Kvinna	21-30	Annat	Ja	Ja																																			1	1
2023-04-19 23.23.59	Ja	Kvinna	21-30	Content creator	Nej	Ja		2	2	3	2	2	2	2	4	3	2	2	3	3	2	2	2	4	4	2	3	1	3	2	2	2	5	4	4	4	5	2	4	2	1	1
2023-04-20 17.15.22	Ja	Kvinna	51-60	Content creator	Nej	Ja		2	3	3	2	3	1	1	3	2	2	3	5	5	5	3	5	4	3	3	1	3	5	3	3	5	5	5	5	4	5	1	3	1	2	2
2023-04-20 18.29.18	Ja	Kvinna	31-40	Copywriter	Nej	Ja		4	4	4	1	1	1	2	4	1	1	1	3	3	2	2	3	5	4	1	1	3	2	3	2	5	5	5	5	5	5	2	2	3	2	1
2023-04-20 18.41.06	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja		1	4	3	2	3	4	3	5	1	1	1	2	4	1	1	4	5	4	3	1	4	3	2	1	5	5	4	1	5	5	2	3	4	2	2
2023-04-20 18.52.29	Ja	Kvinna	21-30	Content creator	Ja	Ja		3	4	5	3	2	4	2	1	2	2	2	5	5	2	5	4	3	4	2	1	2	5	5	5	5	5	5	1	5	5	2	3	3	1	1
2023-04-20 19.16.23	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	Ja		2	1	4	1	1	2	1	2	3	1	3	3	2	2	1	2	2	3	1	1	1	3	1	1	5	3	5	1	3	5	3	2	2	2	1
2023-04-20 20.10.52	Ja	Kvinna	41-50	Content creator	Ja	Ja		2	2	2	2	2	2	1	2	3	2	4	5	5	5	5	5	2	3	1	2		4	4	3	4	5	4	2	5	5	1	5	2	2	2
2023-04-20 20.21.41	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja		4	4	4	2	2	4	2	3	2	2	2	4	4	4	2	4	4	3	2	2	2	4	4	4	4	4	5	2	5	4	3	3	3	2	2
2023-04-20 20.57.34	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	Ja		3	3	4	3	3	4	3	4	1	1	1	5	5	3	5	5	4	4	3	1	3	5	2	3	5	5	5	3	5	5	3	3	3	2	1
2023-04-20 21.20.29	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		4	4	3	3	3	4	2	4	1	1	1	3	3	3	2	3	4	4	1	1	1	3	2	2	3	5	5	1	5	5	2	4	2	2	1
2023-04-20 21.24.29	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja		2	3	2	3	2	2	2	4	3	3	3	5	5	5	4	5	4	4	4	2	4	5	5	4	5	5	5	3	4	4	1	4	3	1	1
2023-04-20 21.43.40	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	Ja		4	3	5	3	3	3	1	2	2	2	1	3	3	2	2	4	5	5	5	2	1	5	3	3	5	5	5	2	5	5	2	2	2	2	2
2023-04-20 23.31.19	Ja	Kvinna	21-30	Content creator	Ja	Ja		5	4	5	3	4	4	3	4	1	1	1	5	5	4	4	5	5	4	3	2	4	4	2	2	5	5	5	4	5	5	1	3	3	1	1
2023-04-21 06.27.47	Ja	Kvinna	21-30	Kommunikatör	Nej	Ja		3	2	4	2	1	4	2	3	4	2	2	1	1	2	3	2	3	2	2	1	1	4	2	2	4	5	5	2	4	4	2	4	4	1	1
2023-04-21 08.31.04	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		2	3	4	2	1	2	1	1	1	1	1	3	3	2	2	2	2	3	1	1	2	3	1	3	4	5	5	3	5	5	1	5	2	2	1
2023-04-21 10.05.43	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja		2	4	5	3	3	3	3	2	2	2	2	5	5	4	4	4	4	4	2	1	3	3	4	2	4	5	5	2	5	5	4	2	4	1	1
2023-04-21 10.18.31	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	Ja		4	3	4	1	2	3	1	4	2	2	2	4	5	3	2	3	4	3	3	2	3	3	4	3	5	5	5	1	5	5	1	4	2	2	1
2023-04-21 11.19.11	Ja	Kvinna	21-30	Kommunikatör	Nej	Nej		5	5	5	3	3	4	2	2	2	1	1	1	1	1	1	1	2	4	4	2	2	1	1	1	5	5	5	5	5	5	1	2	1	1	1
2023-04-21 11.46.13	Ja	Kvinna	31-40	Kommunikatör	Nej	Ja		5	5	5	1	1	3	3	1	1	1	1	5	5	5	5	3	3	3	1	1	1	5	5	5	5	5	5	1	5	5	1	3	3	2	1
2023-04-21 13.09.44	Ja	Kvinna	61-70	Annat	Ja	Ja		4	5	5	3	3	4	2	3	1	1	1	5	5	3	3	4	4	4	2	1	3	5	3	3	5	5	5	1	5	5	2	3	3	2	2
2023-04-21 14.43.48	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		2	3	4	3	3	3	2	2	2	2	3	5	5	3	3	4	3	3	3	1	1	5	3	3	4	5	2	5	4	4	1	4	1	2	1
2023-04-21 15.32.42	Ja	Kvinna	51-60	Kommunikatör	Ja	Ja		3	4	4	3	2	2	2	4	1	1	1	4	4	4	1	2	4	3	1	1	1	3	2	1	1	5	4	1	5	5	2	2	1	2	2
2023-04-21 17.27.19	Ja	Kvinna	21-30	Content creator	Ja	Ja		2	4	2	2	2	4	2	2	2	1	2	4	3	4	2	2	1	4	2	1	2	5	3	3	5	4	5	4	2	4	1	4	2	1	1
2023-04-21 17.35.30	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	Ja		2	4	5	4	1	2	1	3	1	1	1	5	5	2	2	5	3	2	1	1	1	5	4	4	5	5	5	1	5	5	1	4	2	2	2
2023-04-21 18.45.24	Ja	Kvinna	31-40	Marknadskoordinator	Nej	Nej		1	3	3	1	1	2	2	1	2	1	1	2	2	2	1	1	3	3	1	1	1	2	3	1	3	5	5	1	3	3	3	2	3	2	1
2023-04-21 20.18.16	Ja	Man	21-30	Kommunikatör	Ja	Ja		5	5	5	2	2	3	3	2	1	1	2	5	5	2	3	5	3	3	1	1	2	4	2	3	4	5	5	2	5	5	5	2	5	1	1
2023-04-21 23.31.33	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	Ja		5	4	4	5	4	3	1	3	1	1	1	5	5	3	3	5	4	5	2	1	3	5	5	5	5	5	5	1	5	5	1	3	3	2	2
2023-04-22 07.59.51	Ja	Kvinna	51-60	Kommunikatör	Nej	Ja		1	3	3	3	3	3	3	4	1	2	3	5	5	4	4	5	3	4	3	1	3	5	3	1	5	5	4	1	4	4	2	3	3	2	2
2023-04-22 10.00.44	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	Nej		1	5	3	2	1	1	1	3	1	1	1	3	4	4	4	3	4	2	1	1	1	4	4	1	1	3	5	1	5	5	1	4	3	2	2
2023-04-22 11.34.30	Ja	Man	51-60	Copywriter	Ja	Ja		3	2	5	4	3	3	3	3	2	2	2	3	4	3	3	3	5	4	2	1	3	3	3	3	4	5	5	2	4	5	4	2	4	2	2
2023-04-23 15.13.59	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Ja	Ja		3	4	3	2	2	3	2	2	2	2	2	4	4	2	1	3	4	3	1	1	2	5	5	5	5	5	4	1	5	5	2	2	2	2	2
2023-04-23 15.21.07	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja		4	5	5	3	3	4	4	2	1	2	1	5	4	5	5	4	3	4	2	1	3	4	2	3	4	4	5	1	4	4	1	3	2	1	1
2023-04-23 16.14.02	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		1	3	3	1	2	2	1	2	2	2	2	4	4	4	4	4	2	2	1	1	2	4	4	3	2	3	2	4	4	4	2	3	1	2	1
2023-04-23 22.32.36	Ja	Kvinna	31-40	Annat	Ja	Ja		3	2	5	2	1	3	3	2	3	2	3	5	5	4	3	5	2	3	2	3	2	5	4	4	3	5	5	2	3	4	2	4	3	2	1
2023-04-23 23.44.31	Ja	Man	21-30	Annat	Ja	Ja		3	3	4	3	2	3	2	3	3	2	3	4	5	4	4	4	3	2	3	3	2	3	3	3	2	4	3	2	4	3	2	2	3	1	1
2023-04-24 07.03.22	Ja	Kvinna	21-30	Content creator	Nej	Nej		1	3	5	3	1	2	1	1	2	1	2	3	2	3	5	2	1	2	1	1	2	3	2	3	5	5	4	4	4	5	1	5	1	1	1
2023-04-24 08.24.46	Ja	Kvinna	21-30	Annat	Ja	Ja		2	4	2	2	4	2	1	1	2	1	1	3	3	1	3	4	3	2	4	1	1	5	2	2	2	5	5	1	5	5	1	5	1	1	1
2023-04-24 13.08.26	Ja	Man	41-50	Kommunikatör	Ja	Ja		1	4	2	3	1	2	2	1	2	1	1	4	4	2	2	4	4	4	1	1	1	4	4	3	4	4	4	2	4	4	1	4	2	2	2
2023-04-24 13.22.30	Ja	Kvinna	31-40	Kommunikatör	Nej	Nej			3	4	3	2	3	2	3	3	3	2	5	5	3	4	5	4	3	2	2	2	4	2	2	3	4	5	4	5	5	1	4	1	2	1
2023-04-24 15.45.34	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		5	4	5	3	2	3	2	1	1	2	2	4	3	2		5	3	4	1	1	2	5	4	3	5	5	5	1	5	5	1	4	1	2	1
2023-04-24 18.29.07	Ja	Kvinna	51-60	Annat	Ja	Ja		3	3	5	2	3	4	3	1	2	2	2	5	5	5	5	5	5	4	3	1	3	5	5	4	5	5	5	1	4	4	4	1	4	2	2
2023-04-24 18.37.24	Ja	Kvinna	41-50	Kommunikatör	Ja	Nej		1	5	1	1	1	1	1	4	1	1	1	3	4	1	1	5	3	1	1	1	1	5	5	5	5	5	5	1	5	1	1	5	1	2	2
2023-04-24 19.49.00	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja		2	4	2	4	1	5	4	1	1	1	1	5	3	1	2	5	4	3	1	1	1	5	2	1	5	4	5	1	2	5	1	3	1	2	2
2023-04-25 20.36.29	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	Ja	4	4	3	3	3	3	3	2	2	2	2	2	5	5	4	4	5	4	3	4	3	2	5	3	3	5	5	3	2	5	5	2	3	3	2	2
2023-04-26 12.46.32	Ja	Man	21-30	Kommunikatör	Ja	Ja	3	2	4	4	3	4	3	2	3	2	2	1	4	4	3	4	5	5	4	3	3	3	4	4	3	3	3	4	5	4	5	4	4	2	1	1
2023-04-28 12.08.32	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Nej	Nej	4	1	2	3	2	1	2	1	1	3	3	2	4	4	3	3	4	3	3	2	1	1	3	2	2	3	4	4	1	4	4	2	4	2	2	2
2023-04-28 12.20.18	Ja	Man	31-40	Content creator	Ja	Ja	5	3	3	3	3	3	2	1	1	3	1	1	3	3	3	3	3	2	2	2	2	2	3	3	3	3	3	4	2	4	4	2	3	3	2	1
2023-04-28 21.16.22	Ja	Kvinna	31-40	Kommunikatör	Nej	Nej	4	1	1	4	3	3	3	2	2	4	3	4	3	4	4	4	4	4	3	2	2	2	3	3	2	2	4	4	4	4	4	2	4	2	2	1
2023-04-29 14.47.04	Ja	Kvinna	41-50	PR-konsult	Nej	Nej	5	3	3	4	2	1	2	2	2	2	2	3	5	5	5	5	5	3	2	2	3	3	5	5	4	5	5	5	1	5	5	2	3	2	2	2
2023-05-02 17.20.01	Ja	Kvinna	21-30	Chef inom kommunikation eller marknad	Nej	Nej	3	1	3	4	4	1	3	2	1	2	3	2	4	3	3	2	3	3	3	2	2	2	4	3	2	5	3	3	2	4	4	2	4	1	1	1
2023-05-02 17.25.10	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Nej	Nej	3	1	2	3	3	3	4	3	4	3	2	2	4	3	2	2	3	4	3	4	1	3	4	5	4	2	5	5	1	4	5	1	3	2	2	2
2023-05-02 17.50.42	Ja	Man	21-30	Chef inom kommunikation eller marknad	Nej	Ja	4	1	3	4	3	2	2	4	2	2	2	2	3	4	4	4	4	3	2	1	5	2	4	4	3	3	2	4	3	4	4	4	3	3	1	1
2023-05-02 20.56.35	Ja	Man	21-30	Content creator	Ja	Ja	5	4	4	5	3	3	4	4	3	2	1	2	4	4	4	3	3	4	4	3	1	3	4	3	4	4	4	5	1	5	5	4	2	4	1	1
2023-05-03 07.44.04	Ja	Kvinna	41-50	Kommunikatör	Nej	Ja	5	1	1	4	1	2	1	1	3	3	3	3	5	5	3	3	5	1	1	1	1	1	3	3	1	3	5	5	1	5	5	1	5	1	2	2
2023-05-03 13.03.49	Ja	Kvinna	21-30	Content creator	Nej	Nej	5	1	3	3	4	1	1	1	3	3	1	4	5	5	4	3	4	4	2	1	2	1	5	5	4	5	5	5	2	4	4	1	5	1	1	1
2023-05-03 13.04.17	Ja	Man	31-40	Annat	Ja	Ja	5	5	1	5	1	2	4	1	1	2	3	4	2	5	3	5	3	1	2	1	1	3	3	4	4	5	5	5	5	5	5	2	4	1	2	1
2023-05-03 13.11.26	Ja	Man	21-30	Annat	Ja	Ja	4	3	4	4	1	1	2	1	1	2	3	3	4	4	4	4	4	2	3	1	1	1	4	3	3	3	3	4	4	4	4	1	5	1	1	1
2023-05-03 13.22.17	Ja	Kvinna	21-30	Kommunikatör	Nej	Ja	5	3	3	4	3	3	3	3	2	2	2	2	4	4	3	2	2	2	2	2	1	3	2	1	2	3	4	4	3	1	4	2	3	2	1	1
2023-05-03 13.23.50	Ja	Kvinna	21-30	PR-konsult	Ja	Ja	5	2	3	4	2	2	2	1	3	3	2	3	3	4	4	4	4	3	3	2	3	3	4	3	3	3	4	5	5	4	5	3	4	3	1	1
2023-05-03 15.19.22	Ja	Man	21-30	Kommunikatör	Ja	Ja	5	3	5	5	4	4	4	3	3	1	1	1	2	4	4	3	4	5	4	3	2	3	4	1	2	4	5	4	5	5	5	1	2	2	1	1
2023-05-03 16.49.38	Ja	Kvinna	21-30	Chef inom kommunikation eller marknad	Nej	Nej	5	4	5	5	3	3	3	2	1	2	1	1	4	2	1	2	4	4	3	3	2	3	4	4	4	5	5	5	1	4	5	3	2	4	1	1
2023-05-03 17.32.05	Ja	Man	41-50	Chef inom kommunikation eller marknad	Ja	Ja	5	3	3	4	4	2	3	2	2	2	2	2	4	4	5	4	3	1	3	1	1	1	3	2	4	4	4	5	1	5	5	4	3	2	2	2
2023-05-03 19.19.30	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja	5	1	3	2	2	3	3	2	1	3	3	3	5	5	5	5	3	3	3	2	2	2	5	5	3	3	5	5	1	5	5	1	3	3	2	1
2023-05-03 21.24.02	Ja	Kvinna	21-30	Content creator	Ja	Ja	5	5	5	5	2	3	4	2	5	2	1	1	5	5	5	3	4	4	4	2	1	1	5	3	5	5	5	5	2	4	5	4	4	5	1	1
2023-05-03 21.48.38	Ja	Kvinna	21-30	PR-konsult	Ja	Ja	5	2	4	5	3	3	2	1	2	1	1	1	4	4	4	4	5	5	5	2	1	1	4	4	3	5	5	5	1	5	5	2	3	5	1	1
2023-05-03 23.19.53	Ja	Kvinna	21-30	Kommunikatör	Nej	Ja	3	1	4	3	2	2	2	2	3	1	1	1	4	4	3	4	4	4	5	2	4	3	3	2	2	4	3	3	4	4	4	1	5	1	1	1
2023-05-03 23.43.31	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja	5	2	3	3	2	2	4	2	3	2	2	3	4	4	4	5	4	4	3	2	2	3	4	3	3	4	4	4	3	5	5	2	2	2	1	1
2023-05-04 06.46.44	Ja	Kvinna	21-30	Annat	Ja	Ja	5	3	3	4	3	3	2	2	3	1	2	2	5	5	4	3	4	4	3	3	3	3	3	3	3	5	5	3	3	5	4	3	3	3	1	1
2023-05-04 08.07.18	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	Ja	5	2	3	3	2	2	3	1	1	3	3	3	4	4	3	2	3	4	3	2	1	2	3	2	2	4	4	4	2	4	4	3	5	2	2	2
2023-05-04 09.27.47	Nej	Man	21-30	Annat	Ja	Ja	5																																		1	1
2023-05-04 20.44.53	Ja	Man	51-60	Annat	Nej	Nej	5	1	3	3	3	3	3	3	3	3	1	4	4	4	2	5	4	2	4	4	2	1	5	3	5	5	5	5	1	3	4	1	5	1	2	2
2023-05-06 19.13.44	Ja	Man	31-40	Content creator	Ja	Ja	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	2	1
2023-05-07 12.07.06	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja	4	2	3	3	1	1	2	1	2	1	3	3	4	3	3	3	4	2	3	3	1	1	4	3	3	1	4	4	2	4	4	3	1	2	2	1
2023-05-07 12.20.23	Ja	Kvinna	51-60	Annat	Nej	Nej	3	1	3	1	3	3	3	2	2	3	3	3	3	3	4	4	3	3	3	2	1	1	3	3	3	3	4	3	3	4	5	2	4	2	2	2
2023-05-07 12.25.30	Nej	Man	51-60	Annat	Nej	Nej	2																																		2	2
2023-05-07 18.34.51	Ja	Kvinna	51-60	Annat	Nej	Nej	3	1	3	4	2	2	3	1	2	1	2	2	4	5	3	4	4	2	2	2	1	1	1	3	1	2	4	4	2	4	4	1	4	2	2	2
2023-05-08 14.47.39	Ja	Kvinna	41-50	PR-konsult	Ja	Ja	5	5	5	5	3	3	3	1	2	1	1	1	5	5	5	5	5	5	4	3	1	2	5	2	2	4	5	5	1	5	5	1	5	1	2	2
2023-05-08 15.03.45	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja	5	2	3	4	3	3	3	3	4	3	3	3	4	3	2	4	4	3	4	4	2	2	4	4	4	4	4	5	1	5	5	3	2	3	2	2
2023-05-08 15.14.54	Ja	Kvinna	21-30	PR-konsult	Ja	Ja	5	4	3	5	3	2	4	3	1	2	2	3	5	5	3	5	4	3	3	2	1	1	5	2	3	5	5	5	2	5	5	2	2	2	1	1
2023-05-08 15.24.37	Ja	Man	31-40	Content creator	Ja	Ja	5	5	4	5	3	2	3	2	2	4	2	2	5	5	4	4	4	3	4	1	1	2	5	5	5	5	5	5	2	5	5	2	3	2	2	1
2023-05-09 08.37.54	Ja	Man	31-40	Chef inom kommunikation eller marknad	Ja	Ja	5	5	4	5	3	4	2	1	4	2	2	3	4	4	3	2	4	5	5	3	1	3	5	5	5	5	5	5	4	5	5	3	3	2	2	1
2023-05-09 10.27.05	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja	5	4	5	5	3	3	3	1	2	3	2	3	4	5	4	3	3	4	5	3	1	3	4	2	3	5	5	5	1	5	5	4	3	3	1	1
2023-05-09 10.52.24	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja	5	5	4	4	2	3	3	1	3	1	2	2	5	5	3	5	4	4	4	2	1	1	5	3	3	5	5	4	2	5	5	3	3	3	1	1
2023-05-10 14.20.59	Ja	Man	51-60	Kommunikatör	Nej	Nej	5	1	2	1	2	1	2	1	2	3	3	2	3	3	2	3	4	3	3	1	1	2	3	2	1	5	5	3	1	3	4	2	1	1	2	2
2023-05-11 17.49.34	Ja	Kvinna	31-40	Copywriter	Ja	Ja	5	5	4	2	3	3	4	2	2	3	2	3	4	4	4	3	4	5	4	3	1	2	4	3	3	5	4	4	3	4	4	1	5	2	2	1
2023-05-12 12.47.12	Ja	Kvinna	41-50	Copywriter	Ja	Ja	5	3	4	3	2	2	1	1	3	4	2	4	5	5	5	5	5	3	4	3	2	4	5	4	4	4	5	5	4	5	5	1	4	1	2	2
2023-05-15 09.48.19	Ja	Kvinna	31-40	Annat	Nej	Ja	5	3	4	4	2	3	2	1	3	2	2	2	3	5	3	3	3	3	3	3	2	3	3	2	3	3	4	5	1	5	5	1	3	1	2	1
2023-05-15 14.12.37	Ja	Man	41-50	Chef inom kommunikation eller marknad	Nej	Ja	5	5	3	5	4	2	2	3	1	1	1	3	5	5		4	4	3	3	3	3	3	5	4	3	5	5	5	4	3	5	1	5	3	2	2
2023-05-15 14.42.41	Ja	Man	21-30	Kommunikatör	Nej	Ja	5	3	3	3	2	2	3	1	1	1	1	2	3	3	2	2	3	4	4	3	1	1	4	4	4	5	5	4	3	4	5	2	5	2	1	1
2023-05-16 12.54.14	Ja	Kvinna	21-30	Copywriter	Ja	Ja	5	3	4	5	3	3	3	3	3	2	1	1	3	4	3	2	4	3	4	2	2	2	4	4	4	5	5	3	4	5	5	2	3	3	1	1
2023-05-16 12.56.02	Ja	Kvinna	21-30	Kommunikatör	Nej	Nej	3	1	5	5	3	2	3	2	1	2	2	2	4	4	4	2	3	2	3	1	1	1	2	1	1	4	4	5	4	4	5	1	5	1	1	1
2023-05-16 12.56.19	Ja	Kvinna	21-30	Annat	Ja	Ja	5	4	3	5	2	2	3	2	1	2	2	2	4	4	4	5	5	4	4	3	2	4	5	5	4	5	5	5	4	5	4	4	5	2	1	1
