Timestamp	Mina huvudsakliga arbetsuppgifter är relaterade till kommunikation. 	Gender	Age	My professional role	Jag har tidigare erfarenhet av att använda AI-driven programvara. 	Jag har tidigare erfarenhet av att använda mig av generativ AI (såsom ChatGPT). 	I can imagine using generative AI in my professional role.	Jag använder generativ AI regelbundet i min yrkesroll. 	Att använda generativa AI-verktyg känns enkelt och kräver ingen extra ansträngning. 	Med hjälp av generativ AI kan jag utföra mina arbetsuppgifter på ett mer tidseffektivt sätt. 	Generativa AI-verktyg är mer korrekta med färre mänskliga fel. 	Generativ AI förstår och utför uppgifter med högre kvalitet än människor. 	Generativ AI levererar trovärdig information. 	Generativa AI-verktyg är tillräckligt utvecklade för att urskilja säkra och osäkra källor. 	Programvaror baserade på generativ AI är mer kreativa än människor. 	Det tar mig för lång tid att lära mig hur jag ska interagera med generativa AI-verktyg. 	Att använda generativa AI-verktyg är för tidskrävande. 	Att arbeta med generativa AI-verktyg är svårt. 	På min arbetsplats är det eftersträvansvärt att vara intresserad av ny teknologi. 	På min arbetsplats är det eftersträvansvärt att vara kompetent i ny teknologi. 	Tekniskt kunniga medarbetare tenderar att få mer inflytande på min arbetsplats. 	Jag har fått ett större intresse för teknologiska verktyg då mina arbetskamrater har ett intresse för det. 	Min arbetsplats förväntar sig att jag anpassar mig till ny teknik. 	Jag uppskattar att generativa AI-verktyg, såsom ChatGPT, har en mänsklig karaktär.	Jag anser att generativa AI-verktyg, såsom ChatGPT, förstår mina behov och det jag frågar efter. 	Jag anser att generativ AI har samma analytiska förmåga som människor.	Jag anser att generativ AI har en egen fri vilja.	Jag anser att generativa AI-verktyg kan uppfatta mina känslor och kommunicera på ett förstående sätt. 	Min arbetsplats uppmuntrar mig till att använda ny teknik. 	Min arbetsgivare bidrar med stöd och underlättar så jag kan lära mig ny teknik.	Med det stöd min arbetsgivare bidrar med känner jag mig trygg i användandet av generativ AI. 	Jag upplever att jag själv kan styra och avgöra hur jag vill använda generativ AI i mitt arbete. 	Jag förstår varför jag behöver lära mig ny teknik i min yrkesroll. 	Jag anser att det är positivt om min arbetsbörda minskar med hjälp av generativ AI. 	Jag känner mig hotad av generativ AI i min yrkesroll. 	Jag tycker att det är kul att lära mig mer om ny teknik. 	Jag är nyfiken på att få veta mer om generativ AI.	Jag känner mig säker på att information som jag delar med generativa AI-verktyg inte lämnas ut till obehöriga personer eller organisationer. 	Jag anser att generativa AI-verktyg kan användas för att manipulera och skada information som jag delar med verktyget, utan min kännedom. 	Jag anser att generativa AI-verktyg är tillräckligt säkra när det gäller att skydda användarnas identitet på internet. 
2023-04-19 23.23.59	Ja	Kvinna	21-30	Content creator	Nej	Ja		2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	4.0	4.0	2.0	3.0	1.0	3.0	2.0	2.0	2.0	5.0	4.0	4.0	4.0	5.0	2.0	4.0	2.0
2023-04-20 17.15.22	Ja	Kvinna	51-60	Content creator	Nej	Ja		2.0	3.0	3.0	2.0	3.0	1.0	1.0	3.0	2.0	2.0	3.0	5.0	5.0	5.0	3.0	5.0	4.0	3.0	3.0	1.0	3.0	5.0	3.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	1.0	3.0	1.0
2023-04-20 18.29.18	Ja	Kvinna	31-40	Copywriter	Nej	Ja		4.0	4.0	4.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	3.0	3.0	2.0	2.0	3.0	5.0	4.0	1.0	1.0	3.0	2.0	3.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	3.0
2023-04-20 18.41.06	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja		1.0	4.0	3.0	2.0	3.0	4.0	3.0	5.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	4.0	5.0	4.0	3.0	1.0	4.0	3.0	2.0	1.0	5.0	5.0	4.0	1.0	5.0	5.0	2.0	3.0	4.0
2023-04-20 18.52.29	Ja	Kvinna	21-30	Content creator	Ja	Ja		3.0	4.0	5.0	3.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	5.0	5.0	2.0	5.0	4.0	3.0	4.0	2.0	1.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	2.0	3.0	3.0
2023-04-20 19.16.23	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	Ja		2.0	1.0	4.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	5.0	3.0	5.0	1.0	3.0	5.0	3.0	2.0	2.0
2023-04-20 20.10.52	Ja	Kvinna	41-50	Content creator	Ja	Ja		2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	4.0	5.0	5.0	5.0	5.0	5.0	2.0	3.0	1.0	2.0		4.0	4.0	3.0	4.0	5.0	4.0	2.0	5.0	5.0	1.0	5.0	2.0
2023-04-20 20.21.41	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja		4.0	4.0	4.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	3.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	2.0	5.0	4.0	3.0	3.0	3.0
2023-04-20 20.57.34	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	Ja		3.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	1.0	1.0	1.0	5.0	5.0	3.0	5.0	5.0	4.0	4.0	3.0	1.0	3.0	5.0	2.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	3.0	3.0	3.0
2023-04-20 21.20.29	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		4.0	4.0	3.0	3.0	3.0	4.0	2.0	4.0	1.0	1.0	1.0	3.0	3.0	3.0	2.0	3.0	4.0	4.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0	5.0	5.0	1.0	5.0	5.0	2.0	4.0	2.0
2023-04-20 21.24.29	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja		2.0	3.0	2.0	3.0	2.0	2.0	2.0	4.0	3.0	3.0	3.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	2.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	1.0	4.0	3.0
2023-04-20 21.43.40	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	Ja		4.0	3.0	5.0	3.0	3.0	3.0	1.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	4.0	5.0	5.0	5.0	2.0	1.0	5.0	3.0	3.0	5.0	5.0	5.0	2.0	5.0	5.0	2.0	2.0	2.0
2023-04-20 23.31.19	Ja	Kvinna	21-30	Content creator	Ja	Ja		5.0	4.0	5.0	3.0	4.0	4.0	3.0	4.0	1.0	1.0	1.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	2.0	4.0	4.0	2.0	2.0	5.0	5.0	5.0	4.0	5.0	5.0	1.0	3.0	3.0
2023-04-21 06.27.47	Ja	Kvinna	21-30	Kommunikatör	Nej	Ja		3.0	2.0	4.0	2.0	1.0	4.0	2.0	3.0	4.0	2.0	2.0	1.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	4.0	5.0	5.0	2.0	4.0	4.0	2.0	4.0	4.0
2023-04-21 08.31.04	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		2.0	3.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	3.0	1.0	3.0	4.0	5.0	5.0	3.0	5.0	5.0	1.0	5.0	2.0
2023-04-21 10.05.43	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja		2.0	4.0	5.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	2.0	1.0	3.0	3.0	4.0	2.0	4.0	5.0	5.0	2.0	5.0	5.0	4.0	2.0	4.0
2023-04-21 10.18.31	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	Ja		4.0	3.0	4.0	1.0	2.0	3.0	1.0	4.0	2.0	2.0	2.0	4.0	5.0	3.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	4.0	2.0
2023-04-21 11.19.11	Ja	Kvinna	21-30	Kommunikatör	Nej	Nej		5.0	5.0	5.0	3.0	3.0	4.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0	2.0	2.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	2.0	1.0
2023-04-21 11.46.13	Ja	Kvinna	31-40	Kommunikatör	Nej	Ja		5.0	5.0	5.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	3.0	3.0
2023-04-21 13.09.44	Ja	Kvinna	61-70	Annat	Ja	Ja		4.0	5.0	5.0	3.0	3.0	4.0	2.0	3.0	1.0	1.0	1.0	5.0	5.0	3.0	3.0	4.0	4.0	4.0	2.0	1.0	3.0	5.0	3.0	3.0	5.0	5.0	5.0	1.0	5.0	5.0	2.0	3.0	3.0
2023-04-21 14.43.48	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		2.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	5.0	5.0	3.0	3.0	4.0	3.0	3.0	3.0	1.0	1.0	5.0	3.0	3.0	4.0	5.0	2.0	5.0	4.0	4.0	1.0	4.0	1.0
2023-04-21 15.32.42	Ja	Kvinna	51-60	Kommunikatör	Ja	Ja		3.0	4.0	4.0	3.0	2.0	2.0	2.0	4.0	1.0	1.0	1.0	4.0	4.0	4.0	1.0	2.0	4.0	3.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	5.0	4.0	1.0	5.0	5.0	2.0	2.0	1.0
2023-04-21 17.27.19	Ja	Kvinna	21-30	Content creator	Ja	Ja		2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	1.0	2.0	4.0	3.0	4.0	2.0	2.0	1.0	4.0	2.0	1.0	2.0	5.0	3.0	3.0	5.0	4.0	5.0	4.0	2.0	4.0	1.0	4.0	2.0
2023-04-21 17.35.30	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	Ja		2.0	4.0	5.0	4.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	5.0	5.0	2.0	2.0	5.0	3.0	2.0	1.0	1.0	1.0	5.0	4.0	4.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	4.0	2.0
2023-04-21 18.45.24	Ja	Kvinna	31-40	Marknadskoordinator	Nej	Nej		1.0	3.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	2.0	3.0	1.0	3.0	5.0	5.0	1.0	3.0	3.0	3.0	2.0	3.0
2023-04-21 20.18.16	Ja	Man	21-30	Kommunikatör	Ja	Ja		5.0	5.0	5.0	2.0	2.0	3.0	3.0	2.0	1.0	1.0	2.0	5.0	5.0	2.0	3.0	5.0	3.0	3.0	1.0	1.0	2.0	4.0	2.0	3.0	4.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	5.0
2023-04-21 23.31.33	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	Ja		5.0	4.0	4.0	5.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	5.0	5.0	3.0	3.0	5.0	4.0	5.0	2.0	1.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	3.0	3.0
2023-04-22 07.59.51	Ja	Kvinna	51-60	Kommunikatör	Nej	Ja		1.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	2.0	3.0	5.0	5.0	4.0	4.0	5.0	3.0	4.0	3.0	1.0	3.0	5.0	3.0	1.0	5.0	5.0	4.0	1.0	4.0	4.0	2.0	3.0	3.0
2023-04-22 10.00.44	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	Nej		1.0	5.0	3.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	4.0	4.0	4.0	3.0	4.0	2.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	3.0	5.0	1.0	5.0	5.0	1.0	4.0	3.0
2023-04-22 11.34.30	Ja	Man	51-60	Copywriter	Ja	Ja		3.0	2.0	5.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	4.0	3.0	3.0	3.0	5.0	4.0	2.0	1.0	3.0	3.0	3.0	3.0	4.0	5.0	5.0	2.0	4.0	5.0	4.0	2.0	4.0
2023-04-23 15.13.59	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Ja	Ja		3.0	4.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	2.0	1.0	3.0	4.0	3.0	1.0	1.0	2.0	5.0	5.0	5.0	5.0	5.0	4.0	1.0	5.0	5.0	2.0	2.0	2.0
2023-04-23 15.21.07	Ja	Kvinna	21-30	Kommunikatör	Ja	Ja		4.0	5.0	5.0	3.0	3.0	4.0	4.0	2.0	1.0	2.0	1.0	5.0	4.0	5.0	5.0	4.0	3.0	4.0	2.0	1.0	3.0	4.0	2.0	3.0	4.0	4.0	5.0	1.0	4.0	4.0	1.0	3.0	2.0
2023-04-23 16.14.02	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		1.0	3.0	3.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	1.0	1.0	2.0	4.0	4.0	3.0	2.0	3.0	2.0	4.0	4.0	4.0	2.0	3.0	1.0
2023-04-23 22.32.36	Ja	Kvinna	31-40	Annat	Ja	Ja		3.0	2.0	5.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	3.0	5.0	5.0	4.0	3.0	5.0	2.0	3.0	2.0	3.0	2.0	5.0	4.0	4.0	3.0	5.0	5.0	2.0	3.0	4.0	2.0	4.0	3.0
2023-04-23 23.44.31	Ja	Man	21-30	Annat	Ja	Ja		3.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	5.0	4.0	4.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	4.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0
2023-04-24 07.03.22	Ja	Kvinna	21-30	Content creator	Nej	Nej		1.0	3.0	5.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	3.0	5.0	2.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0	3.0	5.0	5.0	4.0	4.0	4.0	5.0	1.0	5.0	1.0
2023-04-24 08.24.46	Ja	Kvinna	21-30	Annat	Ja	Ja		2.0	4.0	2.0	2.0	4.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	3.0	4.0	3.0	2.0	4.0	1.0	1.0	5.0	2.0	2.0	2.0	5.0	5.0	1.0	5.0	5.0	1.0	5.0	1.0
2023-04-24 13.08.26	Ja	Man	41-50	Kommunikatör	Ja	Ja		1.0	4.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	1.0	1.0	1.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	4.0	1.0	4.0	2.0
2023-04-24 13.22.30	Ja	Kvinna	31-40	Kommunikatör	Nej	Nej			3.0	4.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	5.0	5.0	3.0	4.0	5.0	4.0	3.0	2.0	2.0	2.0	4.0	2.0	2.0	3.0	4.0	5.0	4.0	5.0	5.0	1.0	4.0	1.0
2023-04-24 15.45.34	Ja	Kvinna	31-40	Kommunikatör	Ja	Ja		5.0	4.0	5.0	3.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	4.0	3.0	2.0		5.0	3.0	4.0	1.0	1.0	2.0	5.0	4.0	3.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	4.0	1.0
2023-04-24 18.29.07	Ja	Kvinna	51-60	Annat	Ja	Ja		3.0	3.0	5.0	2.0	3.0	4.0	3.0	1.0	2.0	2.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	1.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	1.0	4.0	4.0	4.0	1.0	4.0
2023-04-24 18.37.24	Ja	Kvinna	41-50	Kommunikatör	Ja	Nej		1.0	5.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	5.0	3.0	1.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	1.0	1.0	5.0	1.0
2023-04-24 19.49.00	Ja	Kvinna	41-50	Kommunikatör	Ja	Ja		2.0	4.0	2.0	4.0	1.0	5.0	4.0	1.0	1.0	1.0	1.0	5.0	3.0	1.0	2.0	5.0	4.0	3.0	1.0	1.0	1.0	5.0	2.0	1.0	5.0	4.0	5.0	1.0	2.0	5.0	1.0	3.0	1.0
2023-04-25 20.36.29	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	Ja	4.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	5.0	5.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	2.0	5.0	3.0	3.0	5.0	5.0	3.0	2.0	5.0	5.0	2.0	3.0	3.0
2023-04-26 12.46.32	Ja	Man	21-30	Kommunikatör	Ja	Ja	3.0	2.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	2.0	2.0	1.0	4.0	4.0	3.0	4.0	5.0	5.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	5.0	4.0	5.0	4.0	4.0	2.0
2023-04-28 12.08.32	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Nej	Nej	4.0	1.0	2.0	3.0	2.0	1.0	2.0	1.0	1.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	1.0	3.0	2.0	2.0	3.0	4.0	4.0	1.0	4.0	4.0	2.0	4.0	2.0
2023-04-28 12.20.18	Ja	Man	31-40	Content creator	Ja	Ja	5.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	4.0	4.0	2.0	3.0	3.0
2023-04-28 21.16.22	Ja	Kvinna	31-40	Kommunikatör	Nej	Nej	4.0	1.0	1.0	4.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0
2023-04-29 14.47.04	Ja	Kvinna	41-50	PR-konsult	Nej	Nej	5.0	3.0	3.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0	5.0	5.0	5.0	5.0	3.0	2.0	2.0	3.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	1.0	5.0	5.0	2.0	3.0	2.0
2023-05-02 17.20.01	Ja	Kvinna	21-30	Chef inom kommunikation eller marknad	Nej	Nej	3.0	1.0	3.0	4.0	4.0	1.0	3.0	2.0	1.0	2.0	3.0	2.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	4.0	3.0	2.0	5.0	3.0	3.0	2.0	4.0	4.0	2.0	4.0	1.0
2023-05-02 17.25.10	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Nej	Nej	3.0	1.0	2.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	4.0	1.0	3.0	4.0	5.0	4.0	2.0	5.0	5.0	1.0	4.0	5.0	1.0	3.0	2.0
2023-05-02 17.50.42	Ja	Man	21-30	Chef inom kommunikation eller marknad	Nej	Ja	4.0	1.0	3.0	4.0	3.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	1.0	5.0	2.0	4.0	4.0	3.0	3.0	2.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0
2023-05-02 20.56.35	Ja	Man	21-30	Content creator	Ja	Ja	5.0	4.0	4.0	5.0	3.0	3.0	4.0	4.0	3.0	2.0	1.0	2.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	1.0	3.0	4.0	3.0	4.0	4.0	4.0	5.0	1.0	5.0	5.0	4.0	2.0	4.0
2023-05-03 07.44.04	Ja	Kvinna	41-50	Kommunikatör	Nej	Ja	5.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	3.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0	5.0	5.0	1.0	5.0	5.0	1.0	5.0	1.0
2023-05-03 13.03.49	Ja	Kvinna	21-30	Content creator	Nej	Nej	5.0	1.0	3.0	3.0	4.0	1.0	1.0	1.0	3.0	3.0	1.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	2.0	1.0	2.0	1.0	5.0	5.0	4.0	5.0	5.0	5.0	2.0	4.0	4.0	1.0	5.0	1.0
